Data,Corretora,Ativo,Op,Quantidade,Preco,Origem,Situação
22/09/23,XP,ABEV3,Compra,2,13.12,B3I,Confirmada
11/10/23,Itaú,ABEV3,Compra,29,13.32,B3I,Confirmada
25/10/23,Itaú,FLRY3,Compra,6,15.59,B3I,Confirmada
25/10/23,XP,PRIO3,Compra,9,48.23,B3I,Confirmada
10/11/23,Itaú,HYPE3,Compra,21,32.36,B3I,Confirmada
04/12/23,Itaú,ABEV3,Compra,35,14.08,B3I,Confirmada
04/12/23,Itaú,FRAS3,Compra,31,15.81,B3I,Confirmada
04/12/23,Itaú,MULT3,Compra,18,27.56,B3I,Confirmada
21/12/23,Itaú,FIQE3,Compra,100,3.87,B3I,Confirmada
21/12/23,Itaú,FLRY3,Compra,21,18.39,B3I,Confirmada
31/01/24,Itaú,TFCO4,Compra,66,13.45,B3I,Confirmada
31/01/24,Itaú,TFCO4,Compra,8,13.40,B3I,Confirmada
28/03/24,Itaú,B3SA3,Compra,46,12.03,B3I,Confirmada
28/03/24,Itaú,B3SA3,Compra,11,12.04,B3I,Confirmada
28/03/24,Itaú,FLRY3,Compra,15,14.96,B3I,Confirmada
28/03/24,Itaú,ABEV3,Compra,60,12.42,B3I,Confirmada
28/03/24,Itaú,VIVA3,Compra,27,25.16,B3I,Confirmada
28/03/24,Itaú,FLRY3,Compra,34,14.95,B3I,Confirmada
07/05/24,XP,WEGE3,Compra,424,38.90,VIR,Confirmada
